fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-08;VA;60-69;1267;1558;2825
2020-10-08;AV;70-79;377;418;795
2020-10-08;LE;70-79;869;827;1696
2020-10-08;CyL;70-79;4956;5105;10061
2020-10-08;LE;>80;982;1818;2800
2020-10-08;PA;>80;320;585;905
2020-10-08;SE;>80;721;1188;1909
2020-10-08;SO;>80;443;786;1229
2020-10-08;ZA;>80;350;593;943
2020-10-08;CyL;>80;6061;10984;17045
2020-10-08;BU;0-9;770;639;1409
2020-10-08;PA;0-9;213;192;405
2020-10-08;SE;0-9;409;381;790
2020-10-08;ZA;0-9;276;265;541
2020-10-08;CyL;0-9;4346;3864;8210
2020-10-08;PA;10-19;267;257;524
2020-10-08;SA;10-19;611;616;1227
2020-10-08;ZA;10-19;174;169;343
2020-10-08;AV;20-29;307;368;675
2020-10-08;SE;20-29;430;574;1004
2020-10-08;SO;20-29;252;318;570
2020-10-08;CyL;20-29;5527;6544;12071
2020-10-08;AV;30-39;423;567;990
2020-10-08;BU;30-39;1229;1488;2717
2020-10-08;SA;30-39;1054;1433;2487
2020-10-08;SE;30-39;580;753;1333
2020-10-08;SO;30-39;301;409;710
2020-10-08;AV;40-49;611;789;1400
2020-10-08;BU;40-49;1584;1888;3472
2020-10-08;SO;40-49;424;605;1029
2020-10-08;ZA;40-49;341;508;849
2020-10-08;SO;50-59;446;695;1141
2020-10-08;AV;60-69;520;585;1105
2020-10-08;PA;60-69;474;511;985
2020-10-08;CyL;60-69;6941;7952;14893
2020-10-08;PA;70-79;330;338;668
2020-10-08;SA;70-79;779;854;1633
2020-10-08;SE;70-79;513;515;1028
2020-10-08;VA;>80;961;1907;2868
2020-10-08;AV;0-9;247;223;470
2020-10-08;LE;0-9;578;504;1082
2020-10-08;VA;0-9;1059;899;1958
2020-10-08;AV;10-19;238;221;459
2020-10-08;LE;10-19;620;577;1197
2020-10-08;SE;10-19;351;312;663
2020-10-08;SO;10-19;146;138;284
2020-10-08;CyL;10-19;4126;3886;8012
2020-10-08;BU;20-29;1015;1163;2178
2020-10-08;SA;20-29;913;1116;2029
2020-10-08;ZA;20-29;194;235;429
2020-10-08;LE;30-39;953;1442;2395
2020-10-08;PA;30-39;426;526;952
2020-10-08;CyL;30-39;6697;8889;15586
2020-10-08;SE;40-49;806;1117;1923
2020-10-08;AV;50-59;555;860;1415
2020-10-08;BU;50-59;1345;1882;3227
2020-10-08;LE;50-59;1289;1882;3171
2020-10-08;SE;50-59;935;1390;2325
2020-10-08;VA;50-59;1619;2270;3889
2020-10-08;ZA;50-59;408;580;988
2020-10-08;CyL;50-59;8621;12365;20986
2020-10-08;BU;60-69;977;1093;2070
2020-10-08;SE;60-69;782;846;1628
2020-10-08;ZA;60-69;359;395;754
2020-10-08;BU;70-79;646;664;1310
2020-10-08;SO;70-79;233;214;447
2020-10-08;VA;70-79;951;1023;1974
2020-10-08;ZA;70-79;258;252;510
2020-10-08;AV;>80;494;847;1341
2020-10-08;BU;>80;767;1397;2164
2020-10-08;SA;>80;1023;1863;2886
2020-10-07;AV;0-9;249;220;469
2020-10-07;BU;0-9;765;627;1392
2020-10-07;LE;0-9;576;497;1073
2020-10-07;SA;0-9;648;615;1263
2020-10-07;SE;0-9;410;377;787
2020-10-07;BU;10-19;779;675;1454
2020-10-07;SA;10-19;601;598;1199
2020-10-07;SO;10-19;144;137;281
2020-10-07;AV;20-29;308;367;675
2020-10-07;LE;20-29;789;935;1724
